Authors,Title,Year,Source title,Cited by,DOI,Affiliations,Author Keywords,Index Keywords,Document Type
"Amin A.; Lee M.","Digital library services and user experience",2022,Library Research,18,10.1000/demo01,"University A","digital library; user experience","libraries; digital services",Article
"Kumar R.; Amin A.","AI literacy for librarians",2023,Information Practice,31,10.1000/demo02,"University B","artificial intelligence; librarian","AI literacy; libraries",Article
"Tan S.; Rahman N.","Bibliometric mapping in education",2021,Education Analytics,24,10.1000/demo03,"University C","bibliometric; education","science mapping",Article
"Lee M.; Siti H.","Research data management in academic libraries",2024,Data Stewardship,15,10.1000/demo04,"University A","research data; repository","data management",Article
"Rahman N.; Kumar R.","Open science practices in universities",2023,Open Knowledge,29,10.1000/demo05,"University B","open science; repository","open access",Review
"Siti H.; Tan S.","AI-assisted literature review",2025,Research Methods,12,10.1000/demo06,"University C","artificial intelligence; literature review","AI; review",Article
"Amin A.; Siti H.","User experience in institutional repositories",2022,Repository Studies,20,10.1000/demo07,"University A","user experience; repository","institutional repository",Article
"Lee M.; Kumar R.","Digital scholarship support",2024,Academic Libraries,17,10.1000/demo08,"University B","digital library; open science","digital scholarship",Article
"Tan S.; Amin A.","Librarian roles in research analytics",2025,Library Analytics,9,10.1000/demo09,"University C","librarian; research analytics","research support",Conference Paper
"Rahman N.; Lee M.","Visualizing collaboration networks",2024,Scientometrics Practice,14,10.1000/demo10,"University A","co-authorship; visualization","bibliometric networks",Article
