id_peserta,kumpulan,pengalaman_tahap,fokus
P01,Pustakawan,8 tahun,Perkhidmatan rujukan dan konsultasi penyelidikan
P02,Pustakawan,5 tahun,Sumber elektronik dan akses pangkalan data
P03,Pustakawan,12 tahun,Literasi maklumat dan latihan pengguna
P04,Pustakawan,3 tahun,Repositori institusi dan sokongan data penyelidikan
P05,Pelajar prasiswazah,Tahun 2,Pengguna baharu sumber digital
P06,Pelajar prasiswazah,Tahun 4,Projek tahun akhir
P07,Pelajar pascasiswazah,Sarjana tahun 1,Kajian literatur awal
P08,Pelajar pascasiswazah,Sarjana tahun 2,Analisis dan penulisan tesis
P09,Pelajar pascasiswazah,PhD tahun 2,Kajian sistematik
P10,Pelajar pascasiswazah,PhD tahun 4,Penulisan dan penerbitan
P11,Pensyarah dan penyelidik,9 tahun,Pengajaran dan penyelidikan
P12,Pensyarah dan penyelidik,15 tahun,Penyeliaan pascasiswazah
