date,year,month_no,month,faculty,user_group,service,access_channel,usage_count,successful_access,failed_access,success_rate_pct,consultation_count,workshop_participants,avg_response_minutes,satisfaction_score,digital_downloads
2023-01-01,2023,1,Jan,Komputeran,Pascasiswazah,Pangkalan Data,Aplikasi Mudah Alih,423,387,36,91.5,17,11,3.2,3.75,262
2023-01-01,2023,1,Jan,Kejuruteraan,Penyelidik,Repositori Institusi,Kaunter,323,295,28,91.3,16,11,2.2,3.8,213
2023-01-01,2023,1,Jan,Sains,Pascasiswazah,Konsultasi Penyelidikan,E-mel,168,153,15,91.1,9,8,5.2,3.85,118
2023-01-01,2023,1,Jan,Sains Sosial,Penyelidik,Bengkel Literasi Maklumat,Portal Perpustakaan,223,203,20,91.0,14,6,4.2,3.9,165
2023-01-01,2023,1,Jan,Pengurusan,Pascasiswazah,Pinjaman Digital,Aplikasi Mudah Alih,403,366,37,90.8,29,14,3.2,3.95,314
2023-02-01,2023,2,Feb,Kejuruteraan,Pensyarah,Pangkalan Data,Kaunter,442,404,38,91.4,18,11,3.4,3.78,274
2023-02-01,2023,2,Feb,Sains,Prasiswazah,Repositori Institusi,E-mel,343,313,30,91.3,16,12,2.4,3.83,226
2023-02-01,2023,2,Feb,Sains Sosial,Pensyarah,Konsultasi Penyelidikan,Portal Perpustakaan,189,172,17,91.0,11,9,5.4,3.88,132
2023-02-01,2023,2,Feb,Pengurusan,Prasiswazah,Bengkel Literasi Maklumat,Aplikasi Mudah Alih,245,223,22,91.0,16,6,4.4,3.93,181
2023-02-01,2023,2,Feb,Komputeran,Pensyarah,Pinjaman Digital,Kaunter,426,386,40,90.6,31,15,3.4,3.98,332
2023-03-01,2023,3,Mac,Sains,Penyelidik,Pangkalan Data,E-mel,457,418,39,91.5,18,11,3.0,3.81,283
2023-03-01,2023,3,Mac,Sains Sosial,Pascasiswazah,Repositori Institusi,Portal Perpustakaan,359,328,31,91.4,17,13,2.0,3.86,237
2023-03-01,2023,3,Mac,Pengurusan,Penyelidik,Konsultasi Penyelidikan,Aplikasi Mudah Alih,206,188,18,91.3,12,9,5.0,3.91,144
2023-03-01,2023,3,Mac,Komputeran,Pascasiswazah,Bengkel Literasi Maklumat,Kaunter,246,224,22,91.1,16,6,4.0,3.96,182
2023-03-01,2023,3,Mac,Kejuruteraan,Penyelidik,Pinjaman Digital,E-mel,428,388,40,90.7,31,15,3.0,4.01,334
2023-04-01,2023,4,Apr,Sains Sosial,Prasiswazah,Pangkalan Data,Portal Perpustakaan,467,427,40,91.4,19,12,3.2,3.72,290
2023-04-01,2023,4,Apr,Pengurusan,Pensyarah,Repositori Institusi,Aplikasi Mudah Alih,370,338,32,91.4,18,13,2.2,3.77,244
2023-04-01,2023,4,Apr,Komputeran,Prasiswazah,Konsultasi Penyelidikan,Kaunter,201,183,18,91.0,11,9,5.2,3.82,141
2023-04-01,2023,4,Apr,Kejuruteraan,Pensyarah,Bengkel Literasi Maklumat,E-mel,259,235,24,90.7,17,6,4.2,3.87,192
2023-04-01,2023,4,Apr,Sains,Prasiswazah,Pinjaman Digital,Portal Perpustakaan,442,401,41,90.7,32,15,3.2,3.92,345
2023-05-01,2023,5,Mei,Pengurusan,Pascasiswazah,Pangkalan Data,Aplikasi Mudah Alih,453,414,39,91.4,18,11,3.4,3.75,281
2023-05-01,2023,5,Mei,Komputeran,Penyelidik,Repositori Institusi,Kaunter,340,310,30,91.2,16,12,2.4,3.8,224
2023-05-01,2023,5,Mei,Kejuruteraan,Pascasiswazah,Konsultasi Penyelidikan,E-mel,189,172,17,91.0,11,9,5.4,3.85,132
2023-05-01,2023,5,Mei,Sains,Penyelidik,Bengkel Literasi Maklumat,Portal Perpustakaan,248,225,23,90.7,16,6,4.4,3.9,184
2023-05-01,2023,5,Mei,Sains Sosial,Pascasiswazah,Pinjaman Digital,Aplikasi Mudah Alih,415,376,39,90.6,30,15,3.4,3.95,324
2023-06-01,2023,6,Jun,Komputeran,Pensyarah,Pangkalan Data,Kaunter,411,376,35,91.5,16,10,3.0,3.78,255
2023-06-01,2023,6,Jun,Kejuruteraan,Prasiswazah,Repositori Institusi,E-mel,316,289,27,91.5,15,11,2.0,3.83,209
2023-06-01,2023,6,Jun,Sains,Pensyarah,Konsultasi Penyelidikan,Portal Perpustakaan,166,151,15,91.0,9,7,5.0,3.88,116
2023-06-01,2023,6,Jun,Sains Sosial,Prasiswazah,Bengkel Literasi Maklumat,Aplikasi Mudah Alih,209,190,19,90.9,13,5,4.0,3.93,155
2023-06-01,2023,6,Jun,Pengurusan,Pensyarah,Pinjaman Digital,Kaunter,394,357,37,90.6,28,14,3.0,3.98,307
2023-07-01,2023,7,Jul,Kejuruteraan,Penyelidik,Pangkalan Data,E-mel,400,366,34,91.5,16,10,3.2,3.81,248
2023-07-01,2023,7,Jul,Sains,Pascasiswazah,Repositori Institusi,Portal Perpustakaan,306,279,27,91.2,15,11,2.2,3.86,202
2023-07-01,2023,7,Jul,Sains Sosial,Penyelidik,Konsultasi Penyelidikan,Aplikasi Mudah Alih,140,128,12,91.4,8,6,5.2,3.91,98
2023-07-01,2023,7,Jul,Pengurusan,Pascasiswazah,Bengkel Literasi Maklumat,Kaunter,201,183,18,91.0,13,5,4.2,3.96,149
2023-07-01,2023,7,Jul,Komputeran,Penyelidik,Pinjaman Digital,E-mel,387,351,36,90.7,28,14,3.2,4.01,302
2023-08-01,2023,8,Ogos,Sains,Prasiswazah,Pangkalan Data,Portal Perpustakaan,413,378,35,91.5,17,10,3.4,3.72,256
2023-08-01,2023,8,Ogos,Sains Sosial,Pensyarah,Repositori Institusi,Aplikasi Mudah Alih,320,292,28,91.2,15,11,2.4,3.77,211
2023-08-01,2023,8,Ogos,Pengurusan,Prasiswazah,Konsultasi Penyelidikan,Kaunter,155,141,14,91.0,9,7,5.4,3.82,108
2023-08-01,2023,8,Ogos,Komputeran,Pensyarah,Bengkel Literasi Maklumat,E-mel,217,197,20,90.8,14,5,4.4,3.87,161
2023-08-01,2023,8,Ogos,Kejuruteraan,Prasiswazah,Pinjaman Digital,Portal Perpustakaan,387,351,36,90.7,28,14,3.4,3.92,302
2023-09-01,2023,9,Sep,Sains Sosial,Pascasiswazah,Pangkalan Data,Aplikasi Mudah Alih,450,412,38,91.6,18,11,3.0,3.75,279
2023-09-01,2023,9,Sep,Pengurusan,Penyelidik,Repositori Institusi,Kaunter,341,311,30,91.2,16,12,2.0,3.8,225
2023-09-01,2023,9,Sep,Komputeran,Pascasiswazah,Konsultasi Penyelidikan,E-mel,194,177,17,91.2,11,9,5.0,3.85,136
2023-09-01,2023,9,Sep,Kejuruteraan,Penyelidik,Bengkel Literasi Maklumat,Portal Perpustakaan,240,218,22,90.8,15,6,4.0,3.9,178
2023-09-01,2023,9,Sep,Sains,Pascasiswazah,Pinjaman Digital,Aplikasi Mudah Alih,428,388,40,90.7,31,15,3.0,3.95,334
2023-10-01,2023,10,Okt,Pengurusan,Pensyarah,Pangkalan Data,Kaunter,471,431,40,91.5,19,12,3.2,3.78,292
2023-10-01,2023,10,Okt,Komputeran,Prasiswazah,Repositori Institusi,E-mel,363,331,32,91.2,17,13,2.2,3.83,240
2023-10-01,2023,10,Okt,Kejuruteraan,Pensyarah,Konsultasi Penyelidikan,Portal Perpustakaan,217,198,19,91.2,12,10,5.2,3.88,152
2023-10-01,2023,10,Okt,Sains,Prasiswazah,Bengkel Literasi Maklumat,Aplikasi Mudah Alih,264,240,24,90.9,17,7,4.2,3.93,195
2023-10-01,2023,10,Okt,Sains Sosial,Pensyarah,Pinjaman Digital,Kaunter,436,395,41,90.6,31,15,3.2,3.98,340
2023-11-01,2023,11,Nov,Komputeran,Penyelidik,Pangkalan Data,E-mel,480,439,41,91.5,19,12,3.4,3.81,298
2023-11-01,2023,11,Nov,Kejuruteraan,Pascasiswazah,Repositori Institusi,Portal Perpustakaan,373,341,32,91.4,18,13,2.4,3.86,246
2023-11-01,2023,11,Nov,Sains,Penyelidik,Konsultasi Penyelidikan,Aplikasi Mudah Alih,211,192,19,91.0,12,9,5.4,3.91,148
2023-11-01,2023,11,Nov,Sains Sosial,Pascasiswazah,Bengkel Literasi Maklumat,Kaunter,276,251,25,90.9,18,7,4.4,3.96,204
2023-11-01,2023,11,Nov,Pengurusan,Penyelidik,Pinjaman Digital,E-mel,449,407,42,90.6,32,16,3.4,4.01,350
2023-12-01,2023,12,Dis,Kejuruteraan,Prasiswazah,Pangkalan Data,Portal Perpustakaan,427,391,36,91.6,17,11,3.0,3.72,265
2023-12-01,2023,12,Dis,Sains,Pensyarah,Repositori Institusi,Aplikasi Mudah Alih,338,309,29,91.4,16,12,2.0,3.77,223
2023-12-01,2023,12,Dis,Sains Sosial,Prasiswazah,Konsultasi Penyelidikan,Kaunter,177,161,16,91.0,10,8,5.0,3.82,124
2023-12-01,2023,12,Dis,Pengurusan,Pensyarah,Bengkel Literasi Maklumat,E-mel,226,205,21,90.7,14,6,4.0,3.87,167
2023-12-01,2023,12,Dis,Komputeran,Prasiswazah,Pinjaman Digital,Portal Perpustakaan,417,378,39,90.6,30,15,3.0,3.92,325
2024-01-01,2024,1,Jan,Kejuruteraan,Pascasiswazah,Pangkalan Data,Aplikasi Mudah Alih,457,424,33,92.8,18,11,2.8,3.93,283
2024-01-01,2024,1,Jan,Sains,Penyelidik,Repositori Institusi,Kaunter,357,330,27,92.4,17,12,1.8,3.98,236
